callSign,aircraft.reg,airline.iata,airline.name,departure.airport.iata,arrival.airport.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,departure.gate,arrival.gate,ARR_DELAY,PRIOR_LEG_DELAY,PREDICTED_DELAY,downstream_count,DELAY_BETA,DELAY_BETA_NORM
BWA600,9Y-BAR,BW,Caribbean,POS,,2025-12-19 19:55:00+00:00,2025-12-20 02:00:00+00:00,,C36,0.0,0.0,5.433138,0,5.433138,0.23890618519482543
PIA781,AP-BGY,PK,Pakistan International,ISB,,2025-12-19 09:30:00+00:00,2025-12-19 23:30:00+00:00,,C35,45.0,0.0,44.803696,0,44.803696,1.9701101083735886
EVA036,B-16721,BR,EVA Air,TPE,,2025-12-19 11:20:00+00:00,2025-12-20 01:20:00+00:00,C4,E75,0.0,0.0,0.5354277,0,0.5354277,0.023543850580390092
CES208,B-2022,MU,China Eastern,,PVG,2025-12-19 20:25:00+00:00,2025-12-20 11:20:00+00:00,C34,,0.0,0.0,2.8978329,0,2.8978329,0.12742363685057478
CPA826,B-LXP,CX,Cathay Pacific,HKG,,2025-12-19 11:20:00+00:00,2025-12-20 02:00:00+00:00,69,C34,0.0,0.0,3.3455849,0,3.3455849,0.1471122076605475
WJA712,C-FBWI,WS,WestJet,YVR,,2025-12-19 18:00:00+00:00,2025-12-19 22:41:00+00:00,B15,B19,0.0,0.0,0.8688397,5,5.2130382,0.2292279470237825
WJA712,C-FBWI,S4,Azores,YVR,,2025-12-19 18:00:00+00:00,2025-12-19 22:41:00+00:00,B15,B19,0.0,0.0,0.0,4,0.0,0.0
WJA712,C-FBWI,AF,Air France,YVR,,2025-12-19 18:00:00+00:00,2025-12-19 22:41:00+00:00,B15,B19,0.0,0.0,0.0,3,0.0,0.0
WJA712,C-FBWI,VS,Virgin Atlantic,YVR,,2025-12-19 18:00:00+00:00,2025-12-19 22:41:00+00:00,B15,B19,0.0,0.0,0.0,2,0.0,0.0
WJA712,C-FBWI,DL,Delta Air Lines,YVR,,2025-12-19 18:00:00+00:00,2025-12-19 22:41:00+00:00,B15,B19,0.0,0.0,0.18195403,1,0.36390806,0.01600178136028381
WJA712,C-FBWI,QF,Qantas,YVR,,2025-12-19 18:00:00+00:00,2025-12-19 22:41:00+00:00,B15,B19,0.0,0.0,0.0,0,0.0,0.0
WJA2093,C-FBWS,WS,WestJet,CUR,,2025-12-19 20:25:00+00:00,2025-12-20 02:00:00+00:00,,B24,0.0,0.0,6.784122,0,6.784122,0.29831171358362146
ACA170,C-FCEU,AC,Air Canada,YEG,,2025-12-19 20:20:00+00:00,2025-12-20 00:07:00+00:00,52,D33,17.0,0.0,16.084896,0,16.084896,0.7072857605706883
WJA1141,C-FCSX,AF,Air France,TPA,,2025-12-19 19:41:00+00:00,2025-12-19 22:12:00+00:00,,C39A,20.0,20.0,19.514498,2,58.543493999999995,2.5742771156403816
WJA1141,C-FCSX,WS,WestJet,TPA,,2025-12-19 19:41:00+00:00,2025-12-19 22:12:00+00:00,,C39A,20.0,0.0,19.379448,1,38.758896,1.7043078945763903
WJA1141,C-FCSX,DL,Delta Air Lines,TPA,,2025-12-19 19:41:00+00:00,2025-12-19 22:12:00+00:00,,C39A,20.0,20.0,20.253649,0,20.253649,0.8905943524469638
ACA2188,C-FCYX,AC,Air Canada,LAX,,,2025-12-20 00:15:00+00:00,,F65,24.0,0.0,3.9158368,0,3.9158368,0.1721873495084264
ACA742,C-FDCA,AC,Air Canada,SFO,,2025-12-19 22:30:00+00:00,2025-12-20 03:28:00+00:00,D12,F34,0.0,0.0,0.0,0,0.0,0.0
ACA459,C-FDUW,AC,Air Canada,YOW,,2025-12-19 21:15:00+00:00,2025-12-19 22:35:00+00:00,18,D31,43.0,0.0,36.289124,0,36.289124,1.5957069706129288
JZA992,C-FEJB,AC,Air Canada,,LGA,2025-12-19 21:20:00+00:00,2025-12-19 22:58:00+00:00,F62,,0.0,0.0,12.233218,0,12.233218,0.5379196046624756
JZA691,C-FEJD,AC,Air Canada,BOS,,2025-12-19 15:45:00+00:00,2025-12-19 17:48:00+00:00,,F96,216.0,0.0,215.1596,1,430.3192,18.92201495490988
ACA8694,C-FEJD,AC,Air Canada,,BOS,2025-12-19 19:15:00+00:00,2025-12-19 20:57:00+00:00,F96,,174.0,216.0,174.72113,0,174.72113,7.682845280430788
JZA545,C-FEJL,AC,Air Canada,LGA,,2025-12-19 21:20:00+00:00,2025-12-19 23:07:00+00:00,,F60,65.0,0.0,53.262123,0,53.262123,2.342044435703193
JZA970,C-FEKD,AC,Air Canada,STL,,2025-12-19 22:05:00+00:00,2025-12-20 00:06:00+00:00,,F99,0.0,0.0,0.0,0,0.0,0.0
JZA879,C-FEKS,AC,Air Canada,EWR,,2025-12-19 19:20:00+00:00,2025-12-19 21:04:00+00:00,,F66,11.0,0.0,8.968972,1,17.937944,0.7887680694431853
ACA8909,C-FEKS,AC,Air Canada,,ORD,2025-12-19 21:50:00+00:00,2025-12-19 23:48:00+00:00,F66,,0.0,11.0,2.731447,0,2.731447,0.12010730867352357
FLE2637,C-FFBC,F8,Flair,PUJ,,2025-12-19 18:20:00+00:00,2025-12-19 23:10:00+00:00,,B25,45.0,0.0,39.49736,0,39.49736,1.7367796663487458
