callSign,aircraft.reg,airline.iata,airline.name,departure.airport.iata,arrival.airport.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,departure.gate,arrival.gate,ARR_DELAY,PRIOR_LEG_DELAY,PREDICTED_DELAY
PIA781,AP-BGY,PK,Pakistan International,ISB,,2025-12-19 09:30:00+00:00,2025-12-19 23:30:00+00:00,,C35,45.0,0.0,44.803696
ACA887,C-FGEO,AC,Air Canada,VIE,,2025-12-19 09:35:00+00:00,2025-12-19 18:50:00+00:00,G36,E80,203.0,0.0,202.29564
ACA10,C-FNNW,AC,Air Canada,NRT,,2025-12-19 09:45:00+00:00,2025-12-19 21:45:00+00:00,,E72,18.0,0.0,25.283884
ACA10,C-FNNW,NH,ANA,NRT,,2025-12-19 09:45:00+00:00,2025-12-19 21:45:00+00:00,,E72,18.0,18.0,16.489824
ACA2,C-FIVR,AC,Air Canada,HND,,2025-12-19 09:50:00+00:00,2025-12-19 22:05:00+00:00,,E71,0.0,0.0,0.0
ACA81,C-FVND,AC,Air Canada,TLV,,2025-12-19 09:55:00+00:00,2025-12-19 22:05:00+00:00,,E80,215.0,0.0,209.31834
ACA81,C-FVND,UA,United,TLV,,2025-12-19 09:55:00+00:00,2025-12-19 22:05:00+00:00,,E80,215.0,215.0,215.83095
ACA837,C-FIVM,LH,Lufthansa,MUC,,2025-12-19 10:50:00+00:00,2025-12-19 19:50:00+00:00,,E79,147.0,0.0,146.38733
ACA837,C-FIVM,OS,Austrian,MUC,,2025-12-19 10:50:00+00:00,2025-12-19 19:50:00+00:00,,E79,147.0,147.0,148.14711
ACA837,C-FIVM,A3,Aegean,MUC,,2025-12-19 10:50:00+00:00,2025-12-19 19:50:00+00:00,,E79,147.0,147.0,146.61707
ACA837,C-FIVM,OU,Croatia,MUC,,2025-12-19 10:50:00+00:00,2025-12-19 19:50:00+00:00,,E79,147.0,147.0,147.38495
ACA837,C-FIVM,UA,United,MUC,,2025-12-19 10:50:00+00:00,2025-12-19 19:50:00+00:00,,E79,147.0,147.0,146.89816
ACA837,C-FIVM,AC,Air Canada,MUC,,2025-12-19 10:50:00+00:00,2025-12-19 19:50:00+00:00,,E79,147.0,147.0,147.26059
,D-ANRA,DE,Condor,FRA,,2025-12-19 10:50:00+00:00,2025-12-19 19:45:00+00:00,B61,C30,168.0,0.0,164.5411
,D-ANRA,WS,WestJet,FRA,,2025-12-19 10:50:00+00:00,2025-12-19 19:45:00+00:00,B61,C30,168.0,168.0,167.47664
CPA826,B-LXP,CX,Cathay Pacific,HKG,,2025-12-19 11:20:00+00:00,2025-12-20 02:00:00+00:00,69,C34,0.0,0.0,3.3455849
EVA036,B-16721,BR,EVA Air,TPE,,2025-12-19 11:20:00+00:00,2025-12-20 01:20:00+00:00,C4,E75,0.0,0.0,0.5354277
SAS949,SE-DMR,SK,SAS,CPH,,2025-12-19 11:50:00+00:00,2025-12-19 20:40:00+00:00,E101,B41,54.0,0.0,55.57003
PAL118,RP-C3508,PR,Philippine,MNL,,2025-12-19 12:10:00+00:00,2025-12-20 03:10:00+00:00,,C31,0.0,0.0,1.0100445
ACA881,C-FITW,UA,United,ZRH,,2025-12-19 12:20:00+00:00,2025-12-19 21:25:00+00:00,E34,E73,16.0,16.0,16.517056
