callSign,airline.iata,departure.scheduledTime.utc,arrival.scheduledTime.utc,buffered_arrival,PREDICTED_DELAY,DELAY_BETA_NORM,arrival.gate,ASSIGNED_GATE
ACA114,CA,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,2025-12-20 02:11:45.654840+00:00,12.760914,100.0,D24,C39A
,DE,2025-12-19 10:50:00+00:00,2025-12-19 19:45:00+00:00,2025-12-19 19:58:28.113780+00:00,13.468563,84.43635307000737,C30,D33
ACA114,CX,2025-12-19 21:35:00+00:00,2025-12-20 01:59:00+00:00,2025-12-20 02:11:45.654840+00:00,12.760914,80.0,D24,F64
AAL1111,G3,2025-12-19 18:19:00+00:00,2025-12-19 21:19:00+00:00,2025-12-19 21:28:38.669070+00:00,9.6444845,75.57832064380344,A8,F64
UAL3453,CM,2025-12-19 22:16:00+00:00,2025-12-19 23:57:00+00:00,2025-12-20 00:08:14.658300+00:00,11.244305,70.49216067124974,F62,13
ACA112,CA,2025-12-19 20:10:00+00:00,2025-12-20 00:35:00+00:00,2025-12-20 00:47:45.654840+00:00,12.760914,60.0,D41,B29
ACA472,CX,2025-12-20 05:30:00+00:00,2025-12-20 06:38:00+00:00,2025-12-20 06:57:02.993760+00:00,19.049896,59.71326505295781,16,E11
UAL5287,AC,2025-12-19 19:13:00+00:00,2025-12-19 21:02:00+00:00,2025-12-19 21:08:02.100360+00:00,6.035006,47.29289767174985,F64,F34
DAL1734,KE,2025-12-19 19:48:00+00:00,2025-12-19 22:02:00+00:00,2025-12-19 22:07:51.389064+00:00,5.8564844,45.893925779924544,A12,B23
DAL5146,VS,2025-12-19 18:27:00+00:00,2025-12-19 19:48:00+00:00,2025-12-19 19:51:08.643750+00:00,3.1440625,44.348802131258,A6,A17
AAL4556,BA,2025-12-19 18:30:00+00:00,2025-12-19 20:12:00+00:00,2025-12-19 20:20:48.119880+00:00,8.801998,41.385740864643395,A7,D9
ACA413,AC,2025-12-19 18:10:00+00:00,2025-12-19 19:40:00+00:00,2025-12-19 19:45:11.911680+00:00,5.198528,40.73789698762957,D51,2
JIA5123,BA,2025-12-19 19:59:00+00:00,2025-12-19 21:39:00+00:00,2025-12-19 21:47:37.757880+00:00,8.629298,40.5737300635362,A9,D33
,LH,2025-12-20 02:30:00+00:00,2025-12-20 10:10:00+00:00,2025-12-20 10:15:03.285570+00:00,5.0547595,39.61126530591775,,C38
,MS,2025-12-20 02:30:00+00:00,2025-12-20 10:10:00+00:00,2025-12-20 10:13:05.796960+00:00,3.096616,38.82625962372288,,E72
WJA712,AF,2025-12-19 18:00:00+00:00,2025-12-19 22:41:00+00:00,2025-12-19 22:45:56.388300+00:00,4.939805,38.71043249723334,B19,E11
ACA144,AC,2025-12-19 20:10:00+00:00,2025-12-20 00:08:00+00:00,2025-12-20 00:12:56.388300+00:00,4.939805,38.71043249723334,D22,C73
DAL1734,LA,2025-12-19 19:48:00+00:00,2025-12-19 22:02:00+00:00,2025-12-19 22:07:51.389064+00:00,5.8564844,36.71514062393964,A12,2
AAL5030,PD,2025-12-19 18:58:00+00:00,2025-12-19 20:59:00+00:00,2025-12-19 21:02:52.022796+00:00,3.8670466,36.36460460434104,A9,F98
AAL1111,QR,2025-12-19 18:19:00+00:00,2025-12-19 21:19:00+00:00,2025-12-19 21:22:51.684078+00:00,3.8614013,36.31151781134172,A8,E68
AAL1111,AA,2025-12-19 18:19:00+00:00,2025-12-19 21:19:00+00:00,2025-12-19 21:26:42.867282+00:00,7.7144547,36.27226717459266,A8,F61
ACA743,AC,2025-12-19 17:40:00+00:00,2025-12-19 23:25:00+00:00,2025-12-19 23:28:15.885329999+00:00,3.2647555,35.817635790038246,D11,C38
ACA837,AC,2025-12-19 10:50:00+00:00,2025-12-19 19:50:00+00:00,2025-12-19 19:53:31.324140+00:00,3.522069,33.12053352918137,E79,13
POE552,PD,2025-12-20 01:05:00+00:00,2025-12-20 04:19:00+00:00,2025-12-20 04:29:32.888760+00:00,10.548146,33.06392002955274,C41,13
ACA267,LH,2025-12-19 22:50:00+00:00,2025-12-20 01:34:00+00:00,2025-12-20 01:39:03.285570+00:00,5.0547595,31.689012244734194,,C55
,LH,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,2025-12-20 05:45:03.285570+00:00,5.0547595,31.689012244734194,,E68
WJA647,KE,2025-12-19 21:00:00+00:00,2025-12-20 01:32:00+00:00,2025-12-20 01:37:03.285570+00:00,5.0547595,31.689012244734194,A11,26
POE160,PD,2025-12-19 20:00:00+00:00,2025-12-19 21:18:00+00:00,2025-12-19 21:20:49.849722+00:00,2.8308287,31.057024441979625,B24,A17
ACA112,AC,2025-12-19 20:10:00+00:00,2025-12-20 00:35:00+00:00,2025-12-20 00:39:56.388300+00:00,4.939805,30.96834599778668,D41,E73
WJA634,AF,2025-12-19 18:30:00+00:00,2025-12-19 22:28:00+00:00,2025-12-19 22:32:56.388300+00:00,4.939805,30.96834599778668,B20,C55
WJA640,AM,2025-12-19 20:40:00+00:00,2025-12-20 00:36:00+00:00,2025-12-20 00:40:56.388300+00:00,4.939805,30.96834599778668,B22,C35
ACA472,AC,2025-12-20 05:30:00+00:00,2025-12-20 06:38:00+00:00,2025-12-20 06:41:15.885329999+00:00,3.2647555,30.700830677175635,16,13
,DE,2025-12-19 22:15:00+00:00,2025-12-20 06:10:00+00:00,2025-12-20 06:29:02.993760+00:00,19.049896,29.856632526478904,,D33
JIA5123,OH,2025-12-19 19:59:00+00:00,2025-12-19 21:39:00+00:00,2025-12-19 21:48:29.144220+00:00,9.485737,29.733722835213843,A9,13
,OS,2025-12-19 16:10:00+00:00,2025-12-20 00:45:00+00:00,2025-12-20 00:47:40.896678+00:00,2.6816113,29.41996020034302,E79,F97
,UA,2025-12-20 02:30:00+00:00,2025-12-20 10:10:00+00:00,2025-12-20 10:12:35.223240+00:00,2.587054,28.38257196937461,,F97
,AF,2025-12-19 12:25:00+00:00,2025-12-19 20:40:00+00:00,2025-12-19 20:49:01.218840+00:00,9.020314,28.274821066892233,C35,E72
AAL5885,PD,2025-12-19 18:41:00+00:00,2025-12-19 20:30:00+00:00,2025-12-19 20:32:07.727753999+00:00,2.1287959,26.691453605909423,A9,26
ACA117,AC,2025-12-19 21:40:00+00:00,2025-12-20 02:57:00+00:00,2025-12-20 03:00:15.885329999+00:00,3.2647555,25.58402556431303,C46,F98
ACA267,AC,2025-12-19 22:50:00+00:00,2025-12-20 01:34:00+00:00,2025-12-20 01:37:15.885329999+00:00,3.2647555,25.58402556431303,,E11
,AC,2025-12-19 21:40:00+00:00,2025-12-20 05:40:00+00:00,2025-12-20 05:43:15.885329999+00:00,3.2647555,25.58402556431303,,F61
WJA647,AM,2025-12-19 21:00:00+00:00,2025-12-20 01:32:00+00:00,2025-12-20 01:35:15.885329999+00:00,3.2647555,25.58402556431303,A11,E72
ACA417,AC,2025-12-19 20:10:00+00:00,2025-12-19 21:40:00+00:00,2025-12-19 21:45:11.911680+00:00,5.198528,24.44273819257774,D51,B4
AAL1111,PD,2025-12-19 18:19:00+00:00,2025-12-19 21:19:00+00:00,2025-12-19 21:22:51.684078+00:00,3.8614013,24.207678540894484,A8,C39A
ACA1377,UA,2025-12-19 23:55:00+00:00,2025-12-20 01:42:00+00:00,2025-12-20 01:49:35.403780+00:00,7.590063,23.791596746126498,F55,C38
RPA3557,UA,2025-12-19 22:18:00+00:00,2025-12-20 00:17:00+00:00,2025-12-20 00:24:35.403780+00:00,7.590063,23.791596746126498,F96,2
ACA117,LH,2025-12-19 21:40:00+00:00,2025-12-20 02:57:00+00:00,2025-12-20 03:02:03.285570+00:00,5.0547595,23.76675918355065,C46,A17
ASA391,HA,2025-12-19 21:45:00+00:00,2025-12-20 03:11:00+00:00,2025-12-20 03:16:03.285570+00:00,5.0547595,23.76675918355065,,F34
AAL5885,QR,2025-12-19 18:41:00+00:00,2025-12-19 20:30:00+00:00,2025-12-19 20:32:07.727753999+00:00,2.1287959,23.355021905170744,A9,C35
WJA640,AF,2025-12-19 20:40:00+00:00,2025-12-20 00:36:00+00:00,2025-12-20 00:40:56.388300+00:00,4.939805,23.22625949834001,B22,D9
