number,callSign,status,codeshareStatus,isCargo,direction,departure.scheduledTime.utc,departure.scheduledTime.local,departure.revisedTime.utc,departure.revisedTime.local,departure.terminal,departure.gate,departure.quality,arrival.airport.icao,arrival.airport.iata,arrival.airport.name,arrival.airport.timeZone,arrival.scheduledTime.utc,arrival.scheduledTime.local,arrival.revisedTime.utc,arrival.revisedTime.local,arrival.quality,aircraft.reg,aircraft.modeS,aircraft.model,airline.name,airline.iata,airline.icao,arrival.terminal,arrival.baggageBelt,arrival.gate,arrival.runwayTime.utc,arrival.runwayTime.local,departure.runwayTime.utc,departure.runwayTime.local,departure.airport.icao,departure.airport.iata,departure.airport.name,departure.airport.timeZone,departure.checkInDesk
F8 1600,FLE1600,Departed,IsOperator,False,departures,2025-12-19 20:40Z,2025-12-19 15:40-05:00,2025-12-19 20:51Z,2025-12-19 15:51-05:00,3,A8,"['Basic', 'Live']",KFLL,FLL,Fort Lauderdale,America/New_York,2025-12-20 00:05Z,2025-12-19 19:05-05:00,2025-12-19 23:50Z,2025-12-19 18:50-05:00,"['Basic', 'Live']",C-FFLJ,C00E5C,Boeing 737-800,Flair,F8,FLE,,,,,,,,,,,,
NZ 9987,UAL2236,Departed,IsCodeshared,False,departures,2025-12-19 20:45Z,2025-12-19 15:45-05:00,2025-12-19 20:52Z,2025-12-19 15:52-05:00,1,F97,"['Basic', 'Live']",KIAH,IAH,Houston,America/Chicago,2025-12-20 00:49Z,2025-12-19 18:49-06:00,2025-12-20 00:43Z,2025-12-19 18:43-06:00,"['Basic', 'Live']",N833UA,AB6542,Airbus A319,Air New Zealand,NZ,ANZ,C,,,,,,,,,,,
AC 4505,UAL2236,Departed,IsCodeshared,False,departures,2025-12-19 20:45Z,2025-12-19 15:45-05:00,2025-12-19 20:52Z,2025-12-19 15:52-05:00,1,F97,"['Basic', 'Live']",KIAH,IAH,Houston,America/Chicago,2025-12-20 00:49Z,2025-12-19 18:49-06:00,2025-12-20 00:43Z,2025-12-19 18:43-06:00,"['Basic', 'Live']",N833UA,AB6542,Airbus A319,Air Canada,AC,ACA,C,,,,,,,,,,,
UA 2236,UAL2236,Departed,IsOperator,False,departures,2025-12-19 20:45Z,2025-12-19 15:45-05:00,2025-12-19 20:52Z,2025-12-19 15:52-05:00,1,F97,"['Basic', 'Live']",KIAH,IAH,Houston,America/Chicago,2025-12-20 00:49Z,2025-12-19 18:49-06:00,2025-12-20 00:43Z,2025-12-19 18:43-06:00,"['Basic', 'Live']",N833UA,AB6542,Airbus A319,United,UA,UAL,C,,,,,,,,,,,
MU 208,CES208,Departed,IsOperator,False,departures,2025-12-19 20:25Z,2025-12-19 15:25-05:00,2025-12-19 20:54Z,2025-12-19 15:54-05:00,3,C34,"['Basic', 'Live']",ZSPD,PVG,Shanghai,Asia/Shanghai,2025-12-20 11:20Z,2025-12-20 19:20+08:00,2025-12-20 11:20Z,2025-12-20 19:20+08:00,"['Basic', 'Live']",B-2022,780D9E,Ilyushin IL-62,China Eastern,MU,CES,1,13,,,,,,,,,,
TS 7209,POE605,Departed,IsCodeshared,False,departures,2025-12-19 20:15Z,2025-12-19 15:15-05:00,2025-12-19 20:57Z,2025-12-19 15:57-05:00,3,A16,"['Basic', 'Live']",KLGA,LGA,New York,America/New_York,2025-12-19 21:55Z,2025-12-19 16:55-05:00,2025-12-19 22:16Z,2025-12-19 17:16-05:00,"['Basic', 'Live']",C-GKQJ,C060BA,E295,Air Transat,TS,TSC,B,,,,,,,,,,,
PD 605,POE605,Departed,IsOperator,False,departures,2025-12-19 20:15Z,2025-12-19 15:15-05:00,2025-12-19 20:57Z,2025-12-19 15:57-05:00,3,A16,"['Basic', 'Live']",KLGA,LGA,New York,America/New_York,2025-12-19 21:55Z,2025-12-19 16:55-05:00,2025-12-19 22:16Z,2025-12-19 17:16-05:00,"['Basic', 'Live']",C-GKQJ,C060BA,E295,Porter,PD,POE,B,,,,,,,,,,,
AC 8618,ACA8618,Departed,IsOperator,False,departures,2025-12-19 19:15Z,2025-12-19 14:15-05:00,2025-12-19 20:57Z,2025-12-19 15:57-05:00,1,F87,"['Basic', 'Live']",KIAD,IAD,Washington,America/New_York,2025-12-19 20:46Z,2025-12-19 15:46-05:00,2025-12-19 22:40Z,2025-12-19 17:40-05:00,"['Basic', 'Live']",C-FKJZ,C01B6C,Canadair CRJ 900,Air Canada,AC,ACA,,,,,,,,,,,,
AV 325,AVA325,Departed,IsOperator,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:00Z,2025-12-19 16:00-05:00,1,E83,"['Basic', 'Live']",MSLP,SAL,Santa Clara,America/El_Salvador,2025-12-20 02:15Z,2025-12-19 20:15-06:00,2025-12-20 02:37Z,2025-12-19 20:37-06:00,['Basic'],N764AV,AA5078,Airbus A320 NEO,Avianca,AV,AVA,,,,,,,,,,,,
AC 2930,AVA325,Departed,IsCodeshared,False,departures,2025-12-19 21:00Z,2025-12-19 16:00-05:00,2025-12-19 21:00Z,2025-12-19 16:00-05:00,1,E83,"['Basic', 'Live']",MSLP,SAL,Santa Clara,America/El_Salvador,2025-12-20 02:15Z,2025-12-19 20:15-06:00,2025-12-20 02:37Z,2025-12-19 20:37-06:00,['Basic'],N764AV,AA5078,Airbus A320 NEO,Air Canada,AC,ACA,,,,,,,,,,,,
